"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","94.50","96.00","96.00","92.00","50.50K","-0.58%"
"07/29/2024","95.05","96.11","96.77","95.05","67.27K","-0.88%"
"07/26/2024","95.89","95.45","97.50","91.10","32.84K","0.40%"
"07/25/2024","95.51","96.80","97.00","95.51","61.86K","-1.51%"
"07/24/2024","96.97","97.00","97.00","96.51","38.71K","-0.02%"
"07/23/2024","96.99","97.95","97.96","96.11","41.36K","0.41%"
"07/22/2024","96.59","97.02","98.56","96.58","9.05K","-1.44%"
"07/19/2024","98.00","99.10","100.00","97.10","61.53K","-1.51%"
"07/18/2024","99.50","98.00","100.30","98.00","33.05K","0.00%"
"07/15/2024","99.50","101.79","101.79","99.00","15.51K","-0.40%"
"07/12/2024","99.90","97.60","100.99","97.50","33.69K","0.92%"
"07/11/2024","98.99","97.50","100.00","97.50","16.10K","1.01%"
"07/10/2024","98.00","101.00","101.89","97.70","47.21K","-2.00%"
"07/09/2024","100.00","100.00","101.88","98.50","41.29K","0.10%"
"07/08/2024","99.90","99.50","100.03","96.71","13.79K","0.41%"
"07/05/2024","99.49","98.87","100.00","98.56","13.50K","0.08%"
"07/04/2024","99.41","98.51","99.43","98.10","8.19K","0.96%"
"07/03/2024","98.46","98.50","98.88","97.51","16.72K","0.14%"
"07/02/2024","98.32","97.02","98.32","96.78","45.73K","1.00%"
"07/01/2024","97.35","97.31","98.00","97.00","6.01K","-0.15%"
"06/28/2024","97.50","98.49","99.48","97.00","22.88K","-0.41%"
"06/27/2024","97.90","99.55","99.55","97.00","11.89K","0.00%"
"06/26/2024","97.90","98.99","99.59","97.60","88.28K","-0.60%"
"06/25/2024","98.49","98.00","98.92","97.01","91.99K","1.02%"
"06/24/2024","97.50","97.00","99.80","97.00","82.90K","-2.50%"
"06/21/2024","100.00","100.50","101.97","99.22","135.84K","-0.70%"
"06/20/2024","100.70","102.87","102.87","100.00","170.86K","-0.76%"
"06/14/2024","101.47","104.00","104.95","100.25","99.28K","-1.87%"
"06/13/2024","103.40","100.90","104.00","98.35","212.72K","3.40%"
"06/12/2024","100.00","99.37","100.50","98.01","57.57K","0.51%"
